"","ID","LAT","LONG","LOCATION","CONDOM","BUILDAGE","FLOOR","INDIVSAPT","LOCALI","TPPROP","STATUS","HEATING","AC","PUB_DATE","CATASTINFO","APTCHAR","PHOTOSNUM","AGE","ENCLASS","CONTR","DISP","TOTPIANI","PAUTO","REVIEW","METRATURA.totalMainSurface","METRATURA.constitution","METRATURA.floor","METRATURA.surface","METRATURA.percentage","METRATURA.surfaceType","METRATURA.commercialSurface","HASMULTI","LOWRDPRICE.originalPrice","LOWRDPRICE.currentPrice","LOWRDPRICE.passedDays","LOWRDPRICE.date","NROOMS","PRICE","SQFEET","TITLE"
"1","82693539",45.4709,9.20868,"via antonio kramer  20","133","1920","3°, con ascensore","Appartamento","3 (2 camere da letto, 1 altro), 1 bagno, cucina a vista",NA,"Ottimo / Ristrutturato","Autonomo, a radiatori, alimentato a metano","Autonomo, freddo",2020-09-22,"Classe A/4, rendita € 475","- - fibra ottica- - - porta blindata- - - reception- - - balcone- - - portiere intera giornata- - - impianto tv centralizzato- - - parzialmente arredato- - - infissi esterni in doppio vetro / legno- - - esposizione doppia- -","20","Skyline RE Milano",NA,"Affitto",NA,"5 piani",NA,"Rif: KRAMER C - TRILOCALE RISTRUTTURATO NUOVO SOLO CUCINA ARREDATA. No, condivisioni, no sublocazioni, no affitti brevi. Disponibile da subito. Nelle immediate adiacenze di Porta Venezia, all’interno di un palazzo d’epoca del 1920 con servizio di portineria, proponiamo appartamento completamente ristrutturato circa posto al terzo piano con ascensore e servizio di portineria. La residenza colpisce per la particolare luminosità che esalta gli spazi e la qualità delle finiture. L’appartamento è stato ristrutturato a nuovo e si compone di un ingresso diretto sul soggiorno con cucina a vista, due camere da letto, bagno, ripostiglio e balcone. La pavimentazione è in parquet in tutta la casa, gli infissi sono in legno con doppio vetro, ceramica nei servizi, riscaldamento autonomo, climatizzato. Particolare nota è l’ubicazione dell’immobile nella prestigiosa cornice di Porta Venezia, a pochi passi dai curati e rinnovati Giardini di Via Palestro che ospitano il Planetario ed il Museo civico di Storia Naturale ed alle più importanti vie legate allo shopping milanese come l’elegante Corso Venezia e Corso Buenos Aires, ricca di negozi, ristoranti e locali alla moda. La zona è servita dalla linea della metropolitana M1 Porta Venezia, dal passante ferroviario e da diverse linee di tram e autobus.",82,0 m²,c("Abitazione", "Balcone"),c("3", "3"),c("80,5 m²", "3,0 m²"),c("100 %", "50 %"),c("Principale", "Principale"),c("80,5 m²", "1,5 m²"),TRUE,NA,NA,NA,NA,"3","1700","82","Trilocale via ANTONIO KRAMER  20, Milano"
"2","82585523",45.4770,9.15101,"piazzale arduino C.A.","310","1940","6°, con ascensore","Appartamento","3 (2 camere da letto, 1 altro), 2 bagni, cucina a vista",NA,"Nuovo / In costruzione","Centralizzato, a radiatori, alimentato a metano","Autonomo, freddo",2020-09-22,"Classe A/3, rendita € 697","- - fibra ottica- - - videocitofono- - - impianto di allarme- - - porta blindata- - - reception- - - balcone- - - portiere intera giornata- - - impianto tv centralizzato- - - parzialmente arredato- - - esposizione doppia- -","20","Skyline RE Milano",NA,"Affitto",NA,"7 piani",NA,"Rif: CITY LIFE CUBE - OK CONTRATTO SOCIETÀ. PARZIALMENTE ARREDATO. Dove un tempo sorgeva l’antica Fiera Campionaria troviamo oggi il moderno quartiere City Life con le Tre Torri, l’innovativo centro direzionale, il parco pubblico interamente pedonale e lo shopping district con negozi di lusso e ristoranti alla moda. Proprio di fronte agli Orti Fioriti, in Piazzale Arduino sorge un palazzo signorile risalente al 1940 con servizio di portineria ed ascensore; qui al suo interno proponiamo uno splendido appartamento recentemente e completamente ristrutturato a nuovo posto al sesto piano con vista panoramica e finiture di alto standing. La splendida residenza si compone di un ingresso ampio che conduce al salone doppio affacciato sul verde e moderno quartiere di City Life, la cucina arredata e perfettamente attrezzata è racchiusa all'interno di una moderna “cube Kitchen” posta nella zona living che ottimizza lo spazio e rende l’ambiente elegante e raffinato. La zona notte si compone di una camera da letto con bagno en suite, cabina armadio dedicata e balcone, seconda ed ampia camera da letto, secondo bagno con vasca e locale lavanderia. La pavimentazione è in parquet a listoni spessore 12 mm essenza rovere in tutta la casa, gli infissi sono in PVC con doppio vetro, apertura a vasistas, tapparelle motorizzate, predisposizione impianto d’allarme volumetrico, riscaldamento a caloriferi con termo valvole, predisposizione per impianto di condizionamento. Sono di particolare nota sia la luminosità che la vista panoramica. La zona è servita dalle fermate Tre Torri ed Amendola rispettivamente delle linee M5 e M1, da diversi mezzi di superficie, stazione di servizio bike sharing Atm oltre alla possibilità di raggiungere comodamente tangenziali ed autostrade.",110,0 m²,c("Abitazione", "Balcone", "Balcone"),c("6", "6", "6"),c("107,0 m²", "4,0 m²", "2,0 m²"),c("100 %", "50 %", "50 %"),c("Principale", "Principale", "Principale"),c("107,0 m²", "2,0 m²", "1,0 m²"),TRUE,NA,NA,NA,NA,"3","2450","110","Trilocale piazzale ARDUINO, Milano"
"3","80532997",45.4605,9.18927,"via paolo da cannobio  37","467","1967","4°, con ascensore","Appartamento","5 (3 camere da letto, 2 altri), 3 bagni, cucina abitabile",NA,"Ottimo / Ristrutturato","Centralizzato, a radiatori, alimentato a metano","Autonomo, freddo",2020-09-28,"Classe A/2, rendita € 3.227","- - fibra ottica- - - videocitofono- - - impianto di allarme- - - porta blindata- - - reception- - - balcone- - - portiere intera giornata- - - impianto tv centralizzato- - - parzialmente arredato- - - cantina- - - infissi esterni in doppio vetro / metallo- - - esposizione doppia- -","20","Skyline RE Milano",NA,"Affitto",NA,"4 piani",NA,"Rif: MISSORI HOME - OK CONTRATTO A SOCIETÀ. No sub-locazioni, No condivisioni, No affitti brevi.
Tra il Duomo e l’Università Statale passando dalla storica Torre Velasca e Piazza Missori, in posizione strategica per muoversi a piedi nel centro storico della città, troviamo Via Paolo da Cannobio. All'interno di uno stabile signorile con portineria ed ascensore, proponiamo un elegante appartamento di mq 180 parzialmente arredato, unico al piano. L’ingresso conduce ad una hall dedicata all'accoglienza ospiti che ci accompagna al salone di rappresentanza con camino ed attigua sala da pranzo – studio. La cucina abitabile arredata è perfettamente accessoriata e dotata di un balcone; l’adiacente camera con lavanderia completano la zona dedicata ai servizi. 
Il corridoio, caratteristica delle case di rappresentanza, conduce alla zona notte, ben separata dal living, si compone di camera padronale con bagno en suite, ulteriori due camere entrambi matrimoniali e un bagno. 
La pavimentazione è in marmo in tutta la casa, ceramica nei servizi, infissi in alluminio con doppi vetri, riscaldamento e aria condizionata centralizzati, impianto d’allarme volumetrico e perimetrale. Altezza soffitti m 3,20.",180,0 m²,c("Abitazione", "Balcone", "Balcone"),c("4", "4", "4"),c("170,0 m²", "18,0 m²", "2,0 m²"),c("100 %", "50 %", "50 %"),c("Principale", "Principale", "Principale"),c("170,0 m²", "9,0 m²", "1,0 m²"),TRUE,€ 3.000,€ 2.700,0,0,"5","2700","180","Appartamento via PAOLO DA CANNOBIO  37, Milano"
"4","82914247",45.4751,9.18622,"via palermo 1","483","1920","2°, con ascensore","Appartamento","5 (3 camere da letto, 2 altri), 1 bagno, cucina abitabile",NA,"Ottimo / Ristrutturato","Centralizzato, a radiatori, alimentato a metano",NA,2020-09-26,"Classe A/3, rendita € 1.121","- - fibra ottica- - - porta blindata- - - esposizione interna- - - reception- - - balcone- - - portiere intera giornata- - - impianto tv centralizzato- - - infissi esterni in vetro / legno- -","20","Skyline RE Milano",NA,"Affitto",NA,"5 piani",NA,"Rif: BRERA SWEET HOME - OK CONTRATTO SOCIETÀ. VUOTI DI ARREDAMENTI. DISPONIBILE 01/12. Nel cuore del centro storico di Milano, all'interno di uno stabile d’epoca dei primi del ‘900 con servizio di portineria ed ascensore, proponiamo un elegante appartamento di rappresentanza posto al secondo piano. 
L’ingresso ci conduce ad una bellissima zona studio – conversazione affacciata sul cortile interno.
Il salone doppio di rappresentanza è molto accogliente e raffinato, la cucina abitabile completa la zona giorno della casa.
Il corridoio d’ingresso, caratteristica delle case d’epoca nobiliari, conduce alla zona notte che si compone di tre camere da letto di cui due con balcone, ripostiglio e bagno. 
Di particolare nota sia la luce che si irradia in ogni ambiente della casa, grazie alle grandi finestre d’epoca, sia la doppia esposizione sulle corti interne che garantisce tranquillità e privacy. 
La pavimentazione è in parquet in tutta la casa, resina nel bagno; il riscaldamento è centralizzato a caloriferi, aria condizionata in tutta la casa.
Brera è il quartiere più elegante e visitato della città, con una identità molto chiara: palcoscenico ideale per il design e l'arte nelle loro diverse forme e manifestazioni.
Da sempre è centro dello sviluppo commerciale, artistico e culturale della città, in Brera hanno sede alcuni tra i palazzi storici più prestigiosi, ospita tra le vie della “vecchia Milano” più di 80 design store permanenti, botteghe artigiane, gallerie d’arte, negozi, musei, l’Accademia di Belle Arti, la Pinacoteca, oltre a centri di divulgazione culturale e artistica.",150,0 m²,c("Abitazione", "Balcone", "Balcone", "Balcone"),c("2", "2", "2", "2"),c("147,0 m²", "2,5 m²", "2,5 m²", "1,0 m²"),c("100 %", "50 %", "50 %", "50 %"),c("Principale", "Principale", "Principale", "Principale"),c("147,0 m²", "1,3 m²", "1,3 m²", "0,5 m²"),TRUE,NA,NA,NA,NA,"5","3000","150","Appartamento via PALERMO 1, Milano"
"5","81698452",45.4760,9.21160,"via antonio stoppani 2","170","1990","4° piano, con ascensore, con accesso disabili","Appartamento","5 (3 camere da letto, 2 altri), 3 bagni, cucina abitabile",NA,"Ottimo / Ristrutturato","Autonomo, a radiatori, alimentato a gas",NA,2020-07-27,"Classe A/2, rendita € 1.200","- - cancello elettrico- - - mansarda- - - fibra ottica- - - videocitofono- - - porta blindata- - - esposizione esterna- - - armadio a muro- - - portiere mezza giornata- - - impianto tv singolo- - - arredato- - - infissi esterni in triplo vetro / pvc- -","20","MRE Milano Real Estate",NA,"Affitto",NA,"5 piani",NA,"Proponiamo in affitto stupendo appartamento in contesto signorile. 
L'appartamento, suddiviso su due livelli, mantiene separate la zona giorno da quella notte raggiungibile al piano superiore da un'elegantissima scala in legno e acciaio.
Nella zona giorno si trovano l'ampia zona living, la cucina, una cameretta/studio e due bagni.
Nella zona notte invece si trovano due camere da letto, due bagni ed un comodo ripostiglio.
L'interno immobile è finemente ristrutturato ed arredato.
La proprietà si trova al quarto piano di un condominio con ascensore.",157,0 m²,Abitazione,4,157,0 m²,100 %,Principale,157,0 m²,TRUE,NA,NA,NA,NA,"5","3850","157","Appartamento via Antonio Stoppani 2, Milano"
"6","82435756",45.4694,9.15830,"via piero capponi 13","317","1970","3° piano, con ascensore","Appartamento","4 (3 camere da letto, 1 altro), 2 bagni, cucina abitabile",NA,"Buono / Abitabile","Centralizzato, a radiatori, alimentato a metano",NA,2020-09-10,"Classe A/2, rendita € 1.821","- - cancello elettrico- - - fibra ottica- - - videocitofono- - - porta blindata- - - armadio a muro- - - balcone- - - terrazza- - - portiere intera giornata- - - impianto tv centralizzato- - - parzialmente arredato- - - cantina- - - giardino comune- - - infissi esterni in doppio vetro / pvc- - - esposizione doppia- -","20","Sigest S.p.A.",NA,"Affitto",NA,"5 piani",NA,"Alle spalle del Parco di Pagano, nelle immediate vicinanze delle fermate Pagano e Wagner della metropolitana linea M1, a due passi da Corso Vercelli, Via Buonarroti e Piazza Wagner, al piano terzo di un palazzo signorile anni 60, proponiamo in locazione un appartamento di 160 mq in buone condizioni. Il palazzo, dotato di servizio di portineria per l'intera giornata, gode di un doppio affaccio, sia su Parco Pagano che sul curato giardino privato. L'unità  è così composta: ingresso, salone doppio molto luminoso, cucina dotata di ogni elettrodomestico, due camere, studio, doppi servizi, due balconi e cantina. L'appartamento verrà consegnato ritinteggiato, parzialmente arredato. Prevista installazione di impianto di aria condizionata. Libero da Novembre 2020.",160,0 m²,Abitazione,3,160,0 m²,100 %,Principale,160,0 m²,TRUE,NA,NA,NA,NA,"4","2916","160","Quadrilocale via Piero Capponi 13, Milano"
"7","82025884",45.4753,9.20500,"piazza oberdan 3,","333","1900","5°, con ascensore, con accesso disabili","Appartamento","5 (3 camere da letto, 2 altri), 3 bagni, cucina cucinotto",NA,"Buono / Abitabile","Centralizzato, a radiatori, alimentato a metano","Autonomo, freddo/caldo",2020-08-05,"Classe A/2, rendita € 1.653","- - caminetto- - - fibra ottica- - - videocitofono- - - porta blindata- - - armadio a muro- - - terrazza- - - portiere intera giornata- - - impianto tv centralizzato- - - giardino comune- - - infissi esterni in doppio vetro / legno- - - esposizione doppia- -","20","Sigest S.p.A.",NA,"Affitto",NA,"5 piani",NA,"Piazza Oberdan, a pochi passi dai giardini pubblici Indro Montanelli e dal quadrilatero della moda, allinterno di un palazzo d'epoca di fine ""800, con servizio di portineria giornaliero e ascensore, proponiamo in locazione affascinante appartamento quadrilocale con finiture d'epoca all'ultimo piano. L'abitazione, caratterizzata da un ampio terrazzo piantumato di 80 metri quadri, è composta da ingresso su spazioso soggiorno, ampia cucina abitabile con accesso diretto al terrazzo, due camere da letto matrimoniali entrambe dotate di cabina armadio, tre bagni di servizio cameretta/studio, e ripostiglio. Riscaldamento centralizzato e aria condizionata. La zona quartiere è ben servito sia da mezzi pubblici di superficie che dalla metropolitana MM1 di Porta Venezia.
La zona è ricca di servizi alla persona e attività commerciali, ben collegata sia dai mezzi pubblici di superficie che della linea M4 (fermata Palestro e San Babila).",207,5 m²,c("Abitazione", "Terrazzo"),c("5", "5"),c("185,0 m²", "75,0 m²"),c("100 %", "30 %"),c("Principale", "Principale"),c("185,0 m²", "22,5 m²"),TRUE,NA,NA,NA,NA,"5","5000","208","Appartamento piazza Oberdan, 3, Milano"
"8","82465394",45.4635,9.14925,"via via dei gracchi  26","100","1960","Piano terra","Loft","2 (1 camera da letto, 1 altro), 1 bagno, cucina a vista",NA,"Ottimo / Ristrutturato","Centralizzato, a radiatori, alimentato a metano","Autonomo, freddo",2020-09-21,"Classe A/2","- - cancello elettrico- - - fibra ottica- - - videocitofono- - - porta blindata- - - esposizione esterna- - - reception- - - portiere intera giornata- - - impianto tv singolo- - - arredato- - - giardino comune- -","16","Vesta Immobili",NA,"Affitto",NA,"2 piani",NA,"Rif: gra - PIAZZA DE ANGELI via Dei Gracchi nel cuore di una delle zone più ricercate di tutta Milano, in contesto signorile, a pochi passi dalla MM DE ANGELI , Piazza Piemonte e via Sardegna , proponiamo bellissimo appartamento in stile loft completamente arredato a nuovo di 50 mq circa al piano rialzato , composto da: soggiorno ampio, cucina a vista, camera da letto soppalcata e bagno. RISTRUTTURATO A NUOVO da architetto. 
Silenziosissima e luminosissima esposizione esterna.
Richiesta € 1.500/mese incluse le spese condominiali.",50,0 m²,Abitazione,Piano Terra,50,0 m²,100 %,Principale,50,0 m²,TRUE,NA,NA,NA,NA,"2","1500","50","Loft via via dei Gracchi  26, Milano"
"9","60061556",45.4813,9.18840,"via gaspare rosales 8","350","2014","2° piano, con ascensore, con accesso disabili","Appartamento","2 (1 camera da letto, 1 altro), 2 bagni, cucina a vista",NA,"Ottimo / Ristrutturato","Centralizzato, a pavimento, alimentato a gpl","Centralizzato, freddo/caldo",2020-06-26,"Classe A/2, rendita € 1.000","- - cancello elettrico- - - fibra ottica- - - videocitofono- - - impianto di allarme- - - porta blindata- - - armadio a muro- - - terrazza- - - portiere intera giornata- - - impianto tv centralizzato- - - arredato- - - cantina- - - giardino comune- - - infissi esterni in doppio vetro / metallo- - - esposizione doppia- -","16","YOUR HOME - Real Estate",NA,"Affitto",NA,"4 piani","1 in garage/box","La YOUR HOME propone in Locazione a Milano nei pressi di Piazza XXV Aprile e Piazza Gae Aulenti, nel nuovo complesso residenziale “La Corte Verde di Corso Como”, un appartamento arredato completamente, sito al secondo piano, che fa dell'Interior Design una perfetta fusione di elementi contemporanei e di soluzioni volte a valorizzare il dettaglio. Si accede all'unità immobiliare tramite un luminoso ingresso che separa la zona giorno dalla zona notte. Di seguito si apre un ampio soggiorno, con grandi finestrature, esposto ad OVEST, con vista sul gradevole giardino condominiale e sul moderno Skyline Milanese. Nell'area living troviamo una comoda zona pranzo, con vista sull'ampio terrazzo di circa 12 mq, al quale è possibile accedere tramite due ampie e luminose porte finestre a tutta altezza. Completa la zona giorno una cucina a vista ad angolo, completamente accessoriata. La moderna zona relax, composta da un ampio divano, che può diventare un letto matrimoniale per ospiti occasionali, due comode poltrone e tavolini di servizio. Un disimpegno separa la zona giorno dalla zona notte , dove troviamo una lavanderia accessoriata da lavatrice ed asciugatrice, un armadiatura a supporto del guardaroba e della dispensa e un bagno completo per ospiti. Si accede poi alla zona notte, rivolta ad EST, su via Francesco Viganò, dove il sole del mattino illumina la camera matrimoniale con bagno en suite e con cabina armadio separata . Ci accoglie un'ampia camera matrimoniale, cabina armadio con parete attrezzata a parte e bagno padronale luminoso con doppio lavandino, vasca da bagno e grande doccia vetrata. L'impianto di illuminazione dell'appartamento è composto di luci a LED e di corpi illuminanti di design (Artemide, Luce Plan, Icone). Tendaggi moderni su tutte le finestrature. Il parquet in rovere termo trattato è presente nella zona notte, mentre un pavimento grintoso in gres porcellanato è presente nella zona giorno. Gli infissi sono a taglio termico, con doppio vetro per migliorare il risparmio energetico (Edificio in classe A). Il riscaldamento centralizzato è a pavimento con gestione modulare della temperatura durante l’inverno, mentre in estate vi è un efficiente e modulare impianto di condizionamento . L'appartamento è dotato di impianto anti intrusione. Completano la proprietà, una cantina e un comodo Box auto con accesso diretto tramite ascensore interno e serranda elettrificata. Un impianto di videosorveglianza è presente in tutte le parti comuni del Complesso residenziale con annesso servizio di portierato. Le spese condominiali di circa 4.000,00 euro annue sono comprensive di riscaldamento, aria condizionata, pulizie parti comuni , verde condominiale portierato. Questa soluzione abitativa, si rivolge in particolare a chi è alla ricerca di un'abitazione esclusiva. La Corte Verde di Corso Como sorge all'interno del quartiere Milanese che, più di ogni altro è teatro di innovazioni e tendenze, situato tra il centro storico e il quartiere di Porta Nuova, recentemente riqualificato e valorizzato con nuove infrastrutture, aree verdi tra cui il grande parco della Biblioteca degli Alberi, aree dedicate agli animali, aree pedonali e ciclabili. 
L’edificio gode della vitalità della zona e allo stesso tempo, ha il privilegio di essere immerso nel giardino verde recintato tra Via F. Viganò e la promenade che costituisce il prolungamento di Corso Como, arrivando nella più moderna Piazza Gae Aulenti. A distanza pedonale si trovano tre linee della metropolitana (M2,M3,M5), la Stazione ferroviaria di Porta Garibaldi, servita dall’alta velocità con collegamento diretto all'Aeroporto di Malpensa.",90,0 m²,c("Abitazione", "Terrazzo"),c("2", "2"),c("90,0 m²", "12,0 m²"),c("100 %", "50 %"),c("Principale", "Accessoria"),c("90,0 m²", "6,0 m²"),TRUE,NA,NA,NA,NA,"2","2900","90","Bilocale via Gaspare Rosales 8, Milano"
"10","82898725",45.4789,9.19020,"via castelfidardo C.A.","60","1900","da interrato a ammezzato, con ascensore, con accesso disabili","Loft","2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile",NA,"Ottimo / Ristrutturato","Autonomo, a radiatori, alimentato a gas","Autonomo, freddo/caldo",2020-09-28,"Classe A/3, rendita € 2.500","- - taverna- - - fibra ottica- - - videocitofono- - - porta blindata- - - portiere mezza giornata- - - impianto tv centralizzato- - - infissi esterni in triplo vetro / metallo- - - esposizione doppia- -","19","RossoMattone",NA,"Affitto",NA,"5 piani",NA,"Brera – Solferino. In contesto d’epoca, in uno dei più affascinanti quartieri della città, romantico e un po' bohemienne, un appartamento tipo loft, dalle armoniose geometrie, nuovissimo e di taglio giovane e moderno. Una particolare soluzione disposta su tre livelli, dove le generose altezze hanno permesso di ricavare uno spazio anticonvenzionale e moderno. Il piano terra ospita un grande cucina e un comodo spazio living e una scala conduce alla camera da letto sul soppalco. I locali lavanderia, guardaroba e depositi si trovano al piano interrato. Le finiture sono di pregio, il riscaldamento e l’aria condizionata sono gestite autonomamente. Ottimo anche l’isolamento termico con tripli vetri. La disposizione su due livelli, consente facilmente di ricavare uno studio o una piccola showroom permettendo quindi di gestire la propria attività comodamente da casa. Portineria mezza giornata. 
Per informazioni e visite chiamaci allo 0267074953, scrivici su whatsapp +393463163977 o invia una email segreteria@rossomattone.eu",69,0 m²,c("Abitazione", "Soppalco", "Altro"),c("Piano Terra", "Ammezzato", "Interrato"),c("34,0 m²", "9,4 m²", "25,6 m²"),c("100 %", "100 %", "100 %"),c("Principale", "Principale", "Principale"),c("34,0 m²", "9,4 m²", "25,6 m²"),TRUE,NA,NA,NA,NA,"2","2200","69","Loft via Castelfidardo, Milano"
"11","82386016",45.4771,9.20441,"via lazzaro palazzi C.A.","100","1900","Piano rialzato, con ascensore","Appartamento","2 (1 camera da letto, 1 altro), 1 bagno, cucina a vista",NA,"Nuovo / In costruzione","Centralizzato, a radiatori, alimentato a metano","Autonomo, freddo",2020-09-20,"Classe A/3, rendita € 450","- - fibra ottica- - - porta blindata- - - esposizione interna- - - reception- - - portiere intera giornata- - - impianto tv centralizzato- - - arredato- - - infissi esterni in doppio vetro / legno- -","20","La Casa Patella Servizi Immobiliari",NA,"Affitto",NA,"5 piani",NA,"Rif: PALR1 - P.ta Venezia MM, Corso Buenos Aires, Via Lazzaro Palazzi, in signorile stabile d'Epoca con servizio di portineria, elegantissimo bilocale di circa 45 mq, totalmente ristrutturato e arredato NUOVO, al piano rialzato interno al cortile silenzioso e luminoso. L'appartamento è composto da soggiorno con bellissima cucina a vista completa di tutti gli elettrodomestici inclusa lavastoviglie, bagno con grande doccia, ripostiglio/lavanderia con lavatrice, camera matrimoniale, bellissimo pavimento in parquet, serramenti con doppi vetri, tapparelle elettriche, porta blindata, aria condizionata, riscaldamento centralizzato. € 1.200 canone mensile più spese condominiali € 100 mensili incluso riscaldamento. LIBERO SUBITO!",NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"2","1200","45","Bilocale via Lazzaro Palazzi, Milano"
"12","51768485",45.4899,9.18900,"piazzale segrino 1","150","1930","2° piano","Appartamento","2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile",NA,"Ottimo / Ristrutturato","Centralizzato, a radiatori, alimentato a metano","Autonomo, freddo/caldo",2020-09-28,"Classe A/3, rendita € 125","- - cancello elettrico- - - fibra ottica- - - porta blindata- - - esposizione esterna- - - portiere intera giornata- - - impianto tv con parabola satellitare- - - arredato- - - giardino comune- - - infissi esterni in doppio vetro / legno- -","20","Maktub Real Estate",NA,"Affitto",NA,"4 piani",NA,"Nel cuore dell'Isola, in Piazzale Segrino, in stabile d'epoca vecchia Milano, affittasi grande bilocale al secondo piano (di 4) composto da ingresso, ampio soggiorno, ampia camera da letto, cucina abitabile e bagno con finestra.
Appartamento arredato, con cucina completa di lavastoviglie lavatrice e forno, camera da letto con armadiatura completa e letto matrimoniale, soggiorno molto ampio e luminoso; bagno finestrato con doccia e antibagno.
Riscaldamento autonomo, con impianti di recente installazione.
Spese condominiali 150€ mese, compresa quota riscaldamento.
Libero subito
Per informazioni e visite vi preghiamo di contattare
Lorenzo Veneziani 
Cell: 335-543-9869
e-mail: lorenzo.veneziani@gmail.com
Nel cuore dell'Isola, in Piazzale Segrino, in stabile d'epoca vecchia Milano, affittasi grande bilocale al secondo piano (di 4) composto da ingresso, ampio soggiorno, ampia camera da letto, cucina abitabile e bagno con finestra.
Appartamento arredato, con cucina completa di lavastoviglie lavatrice e forno, camera da letto con armadiatura completa e letto matrimoniale, soggiorno molto ampio e luminoso; bagno finestrato con doccia e antibagno.
Riscaldamento autonomo, con impianti di recente installazione.
Spese condominiali 150€ mese, compresa quota riscaldamento.
Libero subito
Per informazioni e visite vi preghiamo di contattare
Lorenzo Veneziani 
Cell: 335-543-9869
e-mail: lorenzo.veneziani@gmail.com
Nel cuore dell'Isola, in Piazzale Segrino, in stabile d'epoca vecchia Milano, affittasi grande bilocale al secondo piano (di 4) composto da ingresso, ampio soggiorno, ampia camera da letto, cucina abitabile e bagno con finestra.
Appartamento arredato, con cucina completa di lavastoviglie lavatrice e forno, camera da letto con armadiatura completa e letto matrimoniale, soggiorno molto ampio e luminoso; bagno finestrato con doccia e antibagno.
Riscaldamento autonomo, con impianti di recente installazione.
Spese condominiali 150€ mese, compresa quota riscaldamento.
Libero subito
Per informazioni e visite vi preghiamo di contattare
Lorenzo Veneziani 
Cell: 335-543-9869
e-mail: lorenzo.veneziani@gmail.com
Nel cuore dell'Isola, in Piazzale Segrino, in stabile d'epoca vecchia Milano, affittasi grande bilocale al secondo piano (di 4) composto da ingresso, ampio soggiorno, ampia camera da letto, cucina abitabile e bagno con finestra.
Appartamento arredato, con cucina completa di lavastoviglie lavatrice e forno, camera da letto con armadiatura completa e letto matrimoniale, soggiorno molto ampio e luminoso; bagno finestrato con doccia e antibagno.
Riscaldamento autonomo, con impianti di recente installazione.
Spese condominiali 150€ mese, compresa quota riscaldamento.
Libero subito
Per informazioni e visite vi preghiamo di contattare
Lorenzo Veneziani 
Cell: 335-543-9869
e-mail: lorenzo.veneziani@gmail.com",60,0 m²,Altro,3,60,0 m²,100 %,Principale,60,0 m²,TRUE,NA,NA,NA,NA,"2","1100","60","Bilocale piazzale Segrino 1, Milano"
