"","TITLE","MONTHLYPRICE","NROOM","SQMETER","PRIMARYKEY"
"1","Quadrilocale via Berna 15, Primaticcio, Milano","1650","4","Not Found",83151929
"2","Bilocale via Francesco Brioschi 88, Pezzotti - Meda, Milano","900","2","55",83155059
"3","Quadrilocale via Maroncelli 3, Garibaldi - Corso Como, Milano","2400","4","Not Found",83153219
"4","Bilocale via Ugo Bassi 24, Isola, Milano","750","2","40",83151269
"5","Trilocale via Francesco Cherubini, Vercelli - Wagner, Milano","2500","3","Not Found",83131333
"6","Trilocale via Mario Giuriati, Plebisciti - Susa, Milano","2000","3","Not Found",83131335
"7","Bilocale via Bernardino Lanino 5, Solari, Milano","1100","2","55",83152193
"8","Trilocale via Emilio Visconti Venosta, Guastalla, Milano","2550","3","Not Found",83153265
"9","Monolocale viale Romolo, Navigli - Darsena, Milano","800","1","30",83155783
"10","Monolocale via Capelli, Garibaldi - Corso Como, Milano","1200","1","54",83133815
"11","Trilocale viale Sabotino 38, Porta Romana - Medaglie d'Oro, Milano","1400","3","80",83155039
"12","Bilocale via Carducci, Cadorna - Castello, Milano","2000","2","70",83155371
"13","Trilocale via Mameli, Indipendenza, Milano","2000","3","Not Found",83149021
"14","Bilocale viale Sabotino 38, Porta Romana - Medaglie d'Oro, Milano","900","2","65",83154455
"15","Bilocale via Francesco Gonin 9, Giambellino, Milano","720","2","45",83152819
"16","Bilocale piazza Castello 5, Cadorna - Castello, Milano","1100","2","50",83152817
"17","Monolocale via Privata Luigi Borgomainerio 6, Lambrate, Milano","700","1","40",83155841
"18","Trilocale corso Giuseppe Garibaldi, Moscova, Milano","2000","3","Not Found",83131819
"19","Bilocale via Camillo Hajech 2, Plebisciti - Susa, Milano","850","2","40",83131263
"20","Bilocale piazzale Luigi Cadorna, Cadorna - Castello, Milano","1200","2","55",83131847
"21","Bilocale piazzale Luigi Cadorna, Cadorna - Castello, Milano","1100","2","45",83131853
"22","Bilocale via Giuseppe Govone 18, Cenisio, Milano","790","2","40",83148461
"23","Bilocale piazzale Luigi Cadorna, Cadorna - Castello, Milano","1000","2","40",83131845
"24","Bilocale piazzale Luigi Cadorna, Cadorna - Castello, Milano","1200","2","55",83131843
"25","Bilocale piazzale Luigi Cadorna, Cadorna - Castello, Milano","1100","2","45",83131849
"26","Bilocale corso Como 5, Garibaldi - Corso Como, Milano","1300","2","70",83131815
"27","Appartamento via Crocefisso 12, Carrobbio, Milano","5000","5+","Not Found",83152789
"28","Bilocale via Eleuterio Pagliano, Monte Rosa - Lotto, Milano","1200","2","65",83155027
"29","Loft via Mecenate 76, Viale Ungheria - Mecenate, Milano","1500","2","Not Found",83148977
"30","Bilocale corso porta romana, Quadronno - Crocetta, Milano","1100","2","50",83155105
"31","Monolocale piazzale Luigi Cadorna, Cadorna - Castello, Milano","900","1","35",83131851
"32","Loft via Spadari 2, Duomo, Milano","1500","2","65",83152449
"33","Bilocale via Silva, Monte Rosa - Lotto, Milano","750","2","55",83149107
"34","Quadrilocale piazzale Portello, Portello - Parco Vittoria, Milano","1500","4","110",83154603
"35","Bilocale via Imbonati 62, Dergano, Milano","1800","2","70",83133813
"36","Appartamento via Fetonte 12, San Siro, Milano","8000","5+","Not Found",83149251
"37","Bilocale via Giulio Romano 17, Porta Romana - Medaglie d'Oro, Milano","920","2","50",83133657
"38","Monolocale via Ferrante Aporti 24, Pasteur, Milano","850","1","Not Found",83148463
"39","Trilocale via Luigi Giuseppe Faravelli, Sempione, Milano","925","3","75",83153431
"40","Bilocale via Luca Della Robbia 10, Pagano, Milano","700","2","40",83133651
"41","Bilocale corso Venezia 8, San Babila, Milano","1800","2","75",83123759
"42","Bilocale via Ettore Troilo, Ascanio Sforza, Milano","1300","2","75",83131841
"43","Trilocale via Palmanova, Crescenzago, Milano","1000","3","95",83151285
"44","Trilocale via Sebino 7, Martini - Insubria, Milano","1100","3","65",83152977
"45","Bilocale via Giovanni Antonio Amadeo 00, Città Studi, Milano","550","2","70",83148367
"46","Monolocale via Tolentino, Cenisio, Milano","700","1","40",83149105
"47","Bilocale via Stefano Canzio 8, Città Studi, Milano","900","2","41",83131167
"48","Monolocale via Palmanova, Crescenzago, Milano","580","1","35",83151315
"49","Bilocale via Cornalia, Melchiorre Gioia, Milano","1350","2","68",83134503
"50","Trilocale corso Genova, Corso Genova, Milano","3000","3","165",83154807
"51","Bilocale via Rinuccini 3, Rovereto, Milano","750","2","50",83133669
"52","Bilocale via Giovanni Cadolini 3, Lodi - Brenta, Milano","850","2","50",83148473
"53","Bilocale piazza Schiavone, Bovisa, Milano","640","2","50",83155107
"54","Trilocale via Spartaco, Montenero, Milano","1035","3","60",83130531
"55","Bilocale via Volvinio 6, Cermenate - Abbiategrasso, Milano","565","2","55",83154405
"56","Bilocale via Gargano 57, Corvetto, Milano","950","1.200(-20.8%)2","70",50294713
"57","Bilocale via ripa di porta ticinese, Navigli - Darsena, Milano","1300","2","55",83131817
"58","Monolocale via Panfilo Castaldi 21, Porta Venezia, Milano","750","1","30",83133673
"59","Bilocale Alzaia Naviglio Pavese, Navigli - Darsena, Milano","1100","2","Not Found",83152509
"60","Bilocale ottimo stato, secondo piano, Città Studi, Milano","700","2","70",83133653
"61","Trilocale via Canonica 64, Paolo Sarpi, Milano","1300","3","80",83133969
"62","Bilocale via Pasquale Paoli 6, Navigli - Darsena, Milano","1100","2","60",83152087
"63","Trilocale via lazzaretto, Porta Venezia, Milano","1250","3","70",83131311
"64","Bilocale via Vincenzo Brunacci 5, Ascanio Sforza, Milano","820","2","50",83153875
"65","Monolocale via Catalani 55, Casoretto, Milano","800","1","Not Found",83133665
"66","Quadrilocale viale Monza 355, Villa San Giovanni, Milano","1300","4","Not Found",83132589
"67","Bilocale corso San Gottardo, Corso San Gottardo, Milano","850","2","55",83103717
"68","Bilocale buono stato, settimo piano, Isola, Milano","900","2","38",83133521
"69","Bilocale ottimo stato, terzo piano, Garibaldi - Corso Como, Milano","1300","2","55",83133655
"70","Bilocale viale Giovanni Suzzani 285, Bignami - Ponale, Milano","1000","2","60",83155215
"71","Monolocale corso Lodi, Porta Romana - Medaglie d'Oro, Milano","670","1","30",83131307
"72","Monolocale via Augusto Anfossi, Montenero, Milano","750","1","40",83150809
"73","Monolocale viale Monte Nero 29, Porta Romana - Medaglie d'Oro, Milano","650","1","Not Found",83129191
"74","Bilocale Viajuvara, Città Studi, Milano","375","2","15",83148509
"75","Bilocale nuovo, sesto piano, Morgagni, Milano","850","2","45",83133663
"76","Monolocale via Giovanni Battista Sammartini 21, Centrale, Milano","620","1","38",83125277
"77","Monolocale via Burlamacchi 2, Porta Romana - Medaglie d'Oro, Milano","800","1","40",83133885
"78","Bilocale via Raffaello Sanzio, Vercelli - Wagner, Milano","1100","2","50",83154969
"79","Bilocale ottimo stato, secondo piano, Rovereto, Milano","900","2","55",83133671
"80","Loft via San Vittore, San Vittore, Milano","1250","1","49",83153849
"81","Bilocale via Tortona, Navigli - Darsena, Milano","1500","2","80",83154263
"82","Bilocale ottimo stato, sesto piano, Duomo, Milano","900","2","65",83150019
"83","Monolocale via Cardinale Ascanio Sforza, Ascanio Sforza, Milano","700","1","45",83154639
"84","Monolocale viale Corsica, Argonne - Corsica, Milano","650","1","28",83154411
"85","Bilocale via Spartaco, Montenero, Milano","880","2","40",83154701
"86","Quadrilocale via Giovanni Pezzotti, Pezzotti - Meda, Milano","1600","4","95",83155125
"87","Trilocale via Francesco Cilea, Trenno, Milano","1200","3","65",83154975
"88","Bilocale via Filippo De Pisis, Quarto Oggiaro, Milano","650","2","65",83154541
"89","Monolocale via Cola di Rienzo, Solari, Milano","600","1","20",83154175
"90","Monolocale via Vespri Siciliani, Giambellino, Milano","600","1","20",83153867
"91","Monolocale via Carlo d'Adda, Navigli - Darsena, Milano","650","1","35",83154297
"92","Bilocale viale Edoardo Jenner 45, Farini, Milano","1300","2","68",83114963
"93","Attico via quadronno 34, Quadronno - Crocetta, Milano","5100","5","Not Found",83123073
"94","Monolocale via Cusani 10, Cadorna - Castello, Milano","850","1","33",83121585
"95","Bilocale via Ercole Ricotti 17, Bovisa, Milano","850","2","60",83130947
"96","Bilocale piazza Risorgimento 3, Piave - Tricolore, Milano","1500","2","75",83121991
"97","Bilocale via castellanza 7, Gallaratese, Milano","1050","2","60",83121445
"98","Bilocale via Gian Francesco Pizzi 18, Ripamonti, Milano","900","2","55",83113373
"99","Bilocale via Piero della Francesca, Sempione, Milano","1140","2","50",83112777
"100","Bilocale via Pontaccio, Lanza, Milano","1000","2","45",83130641
"101","Open space via Morigi, Carrobbio, Milano","1250","1","45",83130897
"102","Bilocale via Lecco, Porta Venezia, Milano","850","2","50",83130945
"103","Trilocale via Solferino, Moscova, Milano","2200","3","100",83130731
"104","Trilocale via Padova, Turro, Milano","950","3","90",83129477
"105","Trilocale via Giuseppe Meda, Ascanio Sforza, Milano","1200","3","65",83131147
"106","Quadrilocale via Spartaco 38, Cadore, Milano","2000","4","Not Found",83130861
"107","Bilocale via Andrea Maffei 10, Montenero, Milano","1250","2","53",83130637
"108","Quadrilocale piazza Argentina, Buenos Aires, Milano","2100","4","Not Found",83120283
"109","Trilocale via monviso, Paolo Sarpi, Milano","1650","3","90",83112771
"110","Bilocale piazza Prealpi, Certosa, Milano","850","2","50",83126009
"111","Trilocale largo Zanuso, Portello - Parco Vittoria, Milano","1400","3","Not Found",83112721
"112","Bilocale via Arnaboldi, Certosa, Milano","800","2","60",83112723
"113","Bilocale via TORELLI, Farini, Milano","1000","2","60",83117989
"114","Bilocale piazzale brescia, De Angeli, Milano","660","2","55",83113099
"115","Bilocale corso GENOVA, Corso Genova, Milano","1100","2","50",83128871
"116","Trilocale via Giuseppe Compagnoni 22, Plebisciti - Susa, Milano","1200","3","Not Found",83114313
"117","Bilocale via Rismondo 27, Baggio, Milano","670","2","45",83124271
"118","Bilocale via CANOVA, Arco della Pace, Milano","975","2","65",83117275
"119","Monolocale via tolstoi, Piazza Napoli, Milano","580","1","25",83112887
"120","Bilocale via Santa Monica 1, Prato Centenaro, Milano","900","2","60",83115057
"121","Bilocale via Giuseppe Meda, Ascanio Sforza, Milano","600","2","50",83112163
"122","Bilocale via Delle Primule 7, Lorenteggio, Milano","700","2","40",83121725
"123","Bilocale via Delle Primule 7, Lorenteggio, Milano","750","2","40",83121723
"124","Bilocale viale Umbria 120, Porta Vittoria, Milano","1100","2","43",83126939
"125","Monolocale via Giuseppe Meda, Ascanio Sforza, Milano","550","1","40",83112135
"126","Loft via Paolo Sarpi, Paolo Sarpi, Milano","1600","3","95",83129003
"127","Trilocale viale Teodorico, Portello - Parco Vittoria, Milano","1400","3","85",83131099
"128","Quadrilocale via Quintino Sella, Cadorna - Castello, Milano","4800","4","Not Found",83107699
"129","Trilocale piazza Arnoldo Mondadori 1, Quadronno - Crocetta, Milano","2300","3","Not Found",83105453
"130","Monolocale via Giuseppe Tartini 3, Dergano, Milano","570","1","30",83112989
"131","Bilocale piazza Francesco Carrara 21, Cermenate - Abbiategrasso, Milano","750","2","50",83126099
"132","Trilocale via quarto cagnino, Quarto Cagnino, Milano","1000","3","Not Found",83113729
"133","Trilocale via quarto cagnino, San Carlo, Milano","1000","3","Not Found",83113555
"134","Bilocale via Filippo Tajani 1, Città Studi, Milano","900","2","70",83123971
"135","Bilocale via Sacchi, Cadorna - Castello, Milano","1400","2","65",83127789
"136","Bilocale via Gaudenzio Ferrari 9, Corso Genova, Milano","1150","2","40",83113199
"137","Bilocale via Pompeo Marchesi, Quarto Cagnino, Milano","1050","2","65",83114617
"138","Monolocale via Alfonso La Marmora, Quadronno - Crocetta, Milano","800","1","40",83113795
"139","Monolocale via Cosenza 1, Martini - Insubria, Milano","650","1","37",83114337
"140","Bilocale via Monviso 36, Paolo Sarpi, Milano","1416","2","50",83109845
"141","Bilocale via ruggero bonghi, Pezzotti - Meda, Milano","980","2","60",83120135
"142","Attico via Cornelio Tacito, Lodi - Brenta, Milano","1700","2","99",83123711
"143","Appartamento via Durini 4, Borgogna - Largo Augusto, Milano","25000","5+","Not Found",83131001
"144","Bilocale viale Cassiodoro 28, Sempione, Milano","1750","2","30",83119439
"145","Quadrilocale piazza Piemonte, Vercelli - Wagner, Milano","1750","4","Not Found",83125329
"146","Bilocale via Eugenio Villoresi, Navigli - Darsena, Milano","1100","2","75",83118241
"147","Bilocale via Lazzaro Papi, Porta Romana - Medaglie d'Oro, Milano","1200","2","55",83122415
"148","Trilocale via Gargano 44, Vigentino - Fatima, Milano","1400","3","Not Found",83120325
"149","Bilocale via via Medici, Carrobbio, Milano","1100","2","40",83125793
"150","Monolocale via Ettore Troilo 6, Ascanio Sforza, Milano","630","1","40",83129045
"151","Monolocale via Ripamonti, Ripamonti, Milano","650","1","35",83122089
"152","Monolocale via Cesare Correnti, Carrobbio, Milano","1100","1","30",83114925
"153","Monolocale via Magolfa 3, Navigli - Darsena, Milano","900","1","39",83128101
"154","Bilocale via Plinio 17, Buenos Aires, Milano","950","2","50",83114683
"155","Bilocale via VERONA, Porta Romana - Medaglie d'Oro, Milano","850","2","55",83128117
"156","Loft Ripa di Porta Ticinese, Navigli - Darsena, Milano","1250","2","45",83129795
"157","Attico via Borgospesso 6, Quadrilatero della Moda, Milano","Prezzo Su Richiesta","RICHIESTA4","Not Found",83124537
"158","Bilocale via Ulisse Dini 6, Chiesa Rossa, Milano","600","2","60",83104021
"159","Bilocale via Rezia, Cadore, Milano","900","2","55",83121295
"160","Bilocale via Altaguardia 2, Porta Romana - Medaglie d'Oro, Milano","1100","2","51",83114081
"161","Bilocale viale MURILLO, San Siro, Milano","660","2","55",83113103
"162","Monolocale via tolstoi, Tripoli - Soderini, Milano","580","1","25",83112817
"163","Monolocale via Crescenzio 2, Città Studi, Milano","650","1","25",83118607
"164","Monolocale via Scipione Piattoli 3, Cimiano, Milano","600","1","30",83127371
"165","Bilocale viale Edoardo Jenner 30, Dergano, Milano","850","2","70",83125287
"166","Bilocale via Correggio 16, Amendola - Buonarroti, Milano","1200","2","70",83104909
"167","Bilocale via Giuseppe Parini 5-a, Porta Nuova, Milano","1400","2","45",83120371
"168","Monolocale via Casale 3, Navigli - Darsena, Milano","750","1","27",83123741
"169","Bilocale via Laura Solera Mantegazza 7, Lanza, Milano","1660","2","70",83109129
"170","Bilocale via Fulvio Testi 5, Istria, Milano","800","2","65",83127141
"171","Monolocale viale misurata, Washington, Milano","580","1","25",83112885
"172","Bilocale viale JENNER, Bovisa, Milano","1000","2","60",83118191
"173","Quadrilocale via Amedei, Missori, Milano","3330","4","Not Found",83105491
"174","Bilocale via Anselmo Ronchetti 5, Borgogna - Largo Augusto, Milano","Prezzo Su Richiesta","RICHIESTA2","80",83125883
"175","Monolocale via Lodovico il Moro 137, Tre Castelli - Faenza, Milano","500","1","35",83119675
"176","Monolocale via Alfonso La Marmora, Quadronno - Crocetta, Milano","700","1","35",83114709
"177","Bilocale via Filippo Tajani 1, Città Studi, Milano","900","2","70",83121069
"178","Bilocale via Bastia 4, Ripamonti, Milano","1000","2","55",83115361
"179","Bilocale via Antonini 32, Vigentino - Fatima, Milano","1100","2","73",83126943
"180","Bilocale via Kramer 19, Piave - Tricolore, Milano","900","2","60",83127135
"181","Trilocale via Morgagni 23, Morgagni, Milano","2085","3","Not Found",83127945
"182","Bilocale via Della Moscova, Turati, Milano","1175","2","75",83127949
"183","Trilocale via Caldara 41, Quadronno - Crocetta, Milano","2335","3","Not Found",83128111
"184","Monolocale Strada della Carità 2, Porta Romana - Medaglie d'Oro, Milano","780","1","29",83123239
"185","Bilocale via Mercadante 8, Buenos Aires, Milano","1100","2","60",83109617
"186","Bilocale via Pietro da Cemmo, Ghisolfa - Mac Mahon, Milano","620","2","65",83127465
"187","Bilocale via Medici, Carrobbio, Milano","1100","2","50",83126633
"188","Bilocale via dei Fontanili 24-b, Ripamonti, Milano","900","2","50",83130331
"189","Bilocale via Gabrio Serbelloni, Palestro, Milano","2334","2","80",83112137
"190","Bilocale via Alfonso La Marmora, Quadronno - Crocetta, Milano","780","2","35",83114869
"191","Monolocale via Melzo 13, Porta Venezia, Milano","600","1","35",83126783
"192","Quadrilocale corso Giuseppe Garibaldi, Moscova, Milano","2200","4","120",83023367
"193","Quadrilocale C.so di Porta Nuova 18, Turati, Milano","2800","4","Not Found",83109601
"194","Bilocale via Palatino 7, San Siro, Milano","1150","2","65",83117849
"195","Bilocale via Caldera, Quinto Romano, Milano","600","2","50",83124449
"196","Bilocale via Marghera, Vercelli - Wagner, Milano","1200","2","38",83113545
"197","Bilocale via Tito Livio, Martini - Insubria, Milano","1400","2","80",83127347
"198","Bilocale via Giuseppe Govone 28, Cenisio, Milano","795","2","37",83127765
